age,gender,year,loc,deaths,nb_c,orphans
45-49,Female,2004,41,64.303,0.8150593000395943,52
45-49,Male,2004,41,115.0205,1.3742336252566076,158
50-54,Male,2004,41,122.4725,0.8499105512720627,104
50-66,Female,2004,41,349.0645,0.13983886463854497,49
55-59,Male,2004,41,136.1995,0.47401853286786144,65
60-76,Male,2004,41,788.2194999999999,0.11292404509335172,89
10-14,Female,2004,44,12.404,0.012715900045919602,0
10-14,Male,2004,44,17.8715,4.209888772620876e-4,0
15-19,Female,2004,44,22.6405,0.3641354194788167,8
15-19,Male,2004,44,68.655,0.09172018407949284,6
20-24,Female,2004,44,25.4405,1.0706833299008693,27
20-24,Male,2004,44,111.946,0.5506689370063983,62
25-29,Female,2004,44,22.4535,1.712525516215691,38
25-29,Male,2004,44,96.002,1.213100784401579,116
30-34,Female,2004,44,20.6845,2.0970105139401687,43
30-34,Male,2004,44,76.985,1.7811678062894702,137
35-39,Female,2004,44,23.3035,1.9189834071303256,45
35-39,Male,2004,44,65.99549999999999,2.038087754422118,135
40-44,Female,2004,44,31.4105,1.3250856270978963,42
40-44,Male,2004,44,64.309,1.76607956230064,114
45-49,Female,2004,44,35.13,0.7342169786367315,26
45-49,Male,2004,44,58.3385,1.2551625781273914,73
50-54,Male,2004,44,61.899499999999996,0.7719654817890987,48
50-66,Female,2004,44,185.193,0.124787584745314,23
55-59,Male,2004,44,65.746,0.4295852828657457,28
60-76,Male,2004,44,320.3365,0.10135569445982598,32
10-14,Female,2004,47,18.817,0.012232551565082418,0
10-14,Male,2004,47,27.8885,4.065643958417945e-4,0
15-19,Female,2004,47,35.0385,0.3499168094187752,12
15-19,Male,2004,47,111.2105,0.08816815565984784,10
20-24,Female,2004,47,40.553,1.0395923117907917,42
20-24,Male,2004,47,186.985,0.5313947916784807,99
25-29,Female,2004,47,37.879,1.6926101085916705,64
25-29,Male,2004,47,171.3355,1.1854047124461284,203
30-34,Female,2004,47,37.8865,2.0998090897303663,80
30-34,Male,2004,47,146.743,1.766710283098333,259
35-39,Female,2004,47,44.701,1.9330473818280178,86
35-39,Male,2004,47,134.25,2.0410416830337406,274
40-44,Female,2004,47,57.3095,1.3413126189855669,77
40-44,Male,2004,47,125.946,1.7804146154694074,224
45-49,Female,2004,47,69.7955,0.7476843692215268,52
45-49,Male,2004,47,125.918,1.2705620757001281,160
50-54,Male,2004,47,139.76149999999998,0.7840484962338959,110
50-66,Female,2004,47,371.816,0.12771505951380804,47
55-59,Male,2004,47,150.741,0.43706145021412646,66
60-76,Male,2004,47,834.6735,0.10359009109098964,86
10-14,Female,2004,50,14.581,0.010843710353897184,0
10-14,Male,2004,50,23.6525,3.577700226679185e-4,0
15-19,Female,2004,50,27.212,0.31036308025632625,8
15-19,Male,2004,50,94.729,0.07805946723071809,7
20-24,Female,2004,50,31.816499999999998,0.9492138064760004,30
20-24,Male,2004,50,162.15699999999998,0.47711984453858636,77
25-29,Female,2004,50,29.4415,1.6007002539690778,47
25-29,Male,2004,50,144.3115,1.0954643010742118,158
30-34,Female,2004,50,29.4565,2.0379010349312314,60
30-34,Male,2004,50,121.5355,1.6834317218264112,205
35-39,Female,2004,50,36.49,1.900333640898223,69
35-39,Male,2004,50,115.0305,1.9846244473879844,228
40-44,Female,2004,50,47.689,1.3313094249276776,63
40-44,Male,2004,50,110.051,1.748313506550612,192
45-49,Female,2004,50,56.87,0.749551158139896,43
45-49,Male,2004,50,107.59700000000001,1.2563543930221188,135
50-54,Male,2004,50,111.5,0.7774029948971637,87
50-66,Female,2004,50,279.259,0.1287635797782852,36
55-59,Male,2004,50,124.122,0.4340276200941544,54
60-76,Male,2004,50,689.9625,0.10394285948175552,72
10-14,Female,2004,52,24.858999999999998,0.011177748110851683,0
10-14,Male,2004,52,38.109,3.712745153958658e-4,0
15-19,Female,2004,52,47.5515,0.3183860326380099,15
15-19,Male,2004,52,155.999,0.08019796883763153,13
20-24,Female,2004,52,56.534,0.9596924494978413,54
20-24,Male,2004,52,266.533,0.486949857218886,130
25-29,Female,2004,52,52.6105,1.583279262954691,83
25-29,Male,2004,52,235.6595,1.1005035846872713,259
30-34,Female,2004,52,52.6975,1.9819878997879505,104
30-34,Male,2004,52,200.002,1.6585975787370135,332
35-39,Female,2004,52,63.414,1.8327416071671974,116
35-39,Male,2004,52,183.00900000000001,1.9318224778628497,354
40-44,Female,2004,52,80.97200000000001,1.276469718810401,103
40-44,Male,2004,52,169.454,1.6904780504735442,286
45-49,Female,2004,52,100.59400000000001,0.7144116800538161,72
45-49,Male,2004,52,172.52700000000002,1.209377676986447,209
50-54,Male,2004,52,196.516,0.7464989087436494,147
50-66,Female,2004,52,636.4815,0.12226462768640138,78
55-59,Male,2004,52,234.7595,0.416159673904879,98
60-76,Male,2004,52,1379.982,0.0989702880893237,137
10-14,Female,2004,54,22.229,0.010733029553021132,0
10-14,Male,2004,54,33.533,3.5208847071301167e-4,0
15-19,Female,2004,54,42.165,0.30583817852905365,13
15-19,Male,2004,54,134.0625,0.07698994427735649,10
20-24,Female,2004,54,51.7585,0.9322326127852016,48
20-24,Male,2004,54,235.97650000000002,0.4696797507440175,111
25-29,Female,2004,54,47.4865,1.5609036502957694,74
25-29,Male,2004,54,211.1135,1.075363865428197,227
30-34,Female,2004,54,48.4105,1.9756019261255942,96
30-34,Male,2004,54,180.788,1.6438358429846922,297
35-39,Female,2004,54,59.713499999999996,1.8356282686578342,110
35-39,Male,2004,54,169.9585,1.930974262947343,328
40-44,Female,2004,54,78.7005,1.2832693364984993,101
40-44,Male,2004,54,164.2335,1.6978673018783144,279
45-49,Female,2004,54,98.81450000000001,0.7211906721798113,71
45-49,Male,2004,54,167.593,1.2186229330705391,204
50-54,Male,2004,54,179.2345,0.7534908396055346,135
50-66,Female,2004,54,537.5665,0.12374672454779641,67
55-59,Male,2004,54,193.935,0.42040768287057545,82
60-76,Male,2004,54,1118.271,0.10036307318109455,112
10-14,Female,2004,63,7.960000000000001,0.009523981845998813,0
10-14,Male,2004,63,11.9945,3.097361476537864e-4,0
15-19,Female,2004,63,14.714,0.2727690629641262,4
15-19,Male,2004,63,47.7955,0.06831495166201498,3
20-24,Female,2004,63,18.3905,0.84936953559677,16
20-24,Male,2004,63,86.283,0.42187302194035114,36
25-29,Female,2004,63,16.6005,1.4641483340604309,24
25-29,Male,2004,63,75.925,0.9873293019014165,75
30-34,Female,2004,63,18.162,1.8904726245920813,34
30-34,Male,2004,63,67.7195,1.5463524043151466,105
35-39,Female,2004,63,25.663999999999998,1.7727004973412959,45
35-39,Male,2004,63,70.6185,1.8453967184900957,130
40-44,Female,2004,63,36.519999999999996,1.2477130431751908,46
40-44,Male,2004,63,73.817,1.6356104492517716,121
45-49,Female,2004,63,48.919000000000004,0.7060605180482874,35
