Municipality,2015,2016,2017,2018,2019,2020,2021
19364 Jambaló,23,23,22,25,24,33,37
19392 La Sierra,20,19,20,20,20,27,28
19397 La Vega,42,41,41,45,40,59,67
19418 López De Micay,32,31,30,35,32,46,49
19450 Mercaderes,38,34,34,37,36,50,58
19455 Miranda,38,37,36,36,38,44,56
19473 Morales,58,56,55,60,61,77,91
19513 Padilla,11,11,11,17,13,15,16
19517 Páez,73,69,67,72,68,94,103
19532 Patía,59,57,56,61,57,74,83
19533 Piamonte,12,10,12,14,14,16,21
19548 Piendamó - Tunía,55,52,52,54,56,67,81
19573 Puerto Tejada,76,76,80,88,82,78,90
19585 Puracé,23,23,22,23,22,31,39
19622 Rosas,19,19,19,19,19,25,28
19693 San Sebastián,18,18,19,19,19,23,28
19698 Santander De Quilichao,135,131,129,138,157,156,202
19701 Santa Rosa,8,8,8,9,9,13,15
19743 Silvia,49,49,50,53,52,67,80
19760 Sotará - Paispamba,19,19,19,19,19,24,29
19780 Suárez,47,45,44,47,46,59,70
19785 Sucre,19,19,20,23,21,30,30
19807 Timbío,52,48,48,50,49,64,79
19809 Timbiquí,40,39,38,44,41,60,63
19821 Toribío,46,44,44,50,50,66,74
19824 Totoró,37,34,33,39,39,54,59
19845 Villa Rica,22,24,23,25,28,33,38
20001 Valledupar,648,630,630,716,705,892,1130
20011 Aguachica,145,142,145,163,154,201,244
20013 Agustín Codazzi,85,84,81,87,88,124,143
20032 Astrea,29,27,27,30,29,41,49
20045 Becerril,28,26,27,31,31,40,47
20060 Bosconia,55,52,52,58,64,81,96
20175 Chimichagua,46,46,44,51,49,69,78
20178 Chiriguaná,40,37,43,42,42,60,71
20228 Curumaní,51,49,49,53,54,72,82
20238 El Copey,41,40,40,45,45,58,69
20250 El Paso,46,47,47,50,51,67,83
20295 Gamarra,23,23,22,23,24,30,36
20310 González,7,7,6,7,6,10,14
20383 La Gloria,24,23,23,25,25,34,41
20400 La Jagua De Ibirico,53,52,52,54,55,73,91
20443 Manaure Balcón Del Cesar,15,15,14,16,16,21,23
20517 Pailitas,24,24,27,29,28,36,48
20550 Pelaya,29,29,29,31,34,42,52
20570 Pueblo Bello,37,37,38,44,43,63,67
20614 Río De Oro,25,25,25,27,25,38,45
20621 La Paz,36,36,36,38,36,51,61
20710 San Alberto,35,35,34,35,39,47,59
20750 San Diego,25,25,25,25,25,36,43
20770 San Martín,35,36,37,41,40,56,64
20787 Tamalameque,20,19,20,23,21,29,36
23001 Montería,635,609,599,627,621,813,949
23068 Ayapel,78,75,74,79,74,106,114
23079 Buenavista,34,32,31,36,35,46,52
23090 Canalete,27,27,26,29,28,41,44
23162 Cereté,149,143,141,148,142,185,226
23168 Chimá,30,29,28,31,30,45,48
23182 Chinú,77,73,71,76,73,101,116
23189 Ciénaga De Oro,100,95,93,100,94,133,150
23300 Cotorra,28,27,26,27,27,35,43
23350 La Apartada,25,23,23,23,23,31,36
23417 Lorica,176,168,162,168,161,213,244
23419 Los Córdobas,31,28,28,34,33,45,50
23464 Momil,28,28,27,27,27,38,43
23466 Montelíbano,113,107,107,114,114,145,169
23500 Moñitos,51,49,50,54,52,74,79
23555 Planeta Rica,93,91,88,91,90,120,139
23570 Pueblo Nuevo,56,55,53,57,56,78,86
23574 Puerto Escondido,41,41,40,46,42,62,66
23580 Puerto Libertador,65,62,62,68,66,91,101
23586 Purísima De La Concepción,26,26,26,26,26,36,44
23660 Sahagún,161,155,152,161,154,203,240
23670 San Andrés De Sotavento,88,87,86,100,91,135,138
23672 San Antero,50,49,49,52,51,68,77
23675 San Bernardo Del Viento,61,58,57,62,61,83,92
23678 San Carlos,49,46,45,49,46,65,73
23682 San José De Uré,5,5,7,12,13,20,21
23686 San Pelayo,84,80,78,82,81,108,122
23807 Tierralta,149,147,142,159,155,213,225
23815 Tuchín,39,39,42,60,61,95,105
23855 Valencia,57,53,53,59,55,76,85
