loc,year,orphans,children,orphan_rate
23,2015,1231,580021.731510172,213
25,2015,2308,743696.0152222051,311
27,2015,261,210066.46642302422,125
41,2015,1457,362550.6816565225,402
44,2015,596,343464.4625336002,174
47,2015,1203,463100.4889385069,260
50,2015,1279,322548.0010324276,397
52,2015,1131,482700.79305908515,235
54,2015,1422,450442.42251681903,316
63,2015,651,126993.2893619087,513
66,2015,1007,240161.4481623536,420
68,2015,1885,596524.7043057542,316
70,2015,722,295973.5188214828,244
73,2015,1570,389739.1296259907,403
76,2015,4952,1290676.625659379,384
81,2015,385,87542.97456842105,440
85,2015,349,137989.26280452716,253
86,2015,309,119675.29980019663,259
88,2015,48,17042.947787853805,282
91,2015,99,32461.566248092946,305
94,2015,28,21622.303921568626,130
95,2015,85,31029.103910080114,274
97,2015,56,21588.97286135693,260
99,2015,42,47522.13060471176,89
5,2016,6080,1706403.949649177,357
8,2016,2503,761614.2984390979,329
11,2016,5898,1829616.4167016072,323
13,2016,1676,680442.1868252371,247
15,2016,1188,348211.3346762249,342
17,2016,746,245234.43584417674,305
18,2016,525,150777.68740204014,349
19,2016,1110,451857.15367306647,246
20,2016,1136,420533.6598665097,271
23,2016,1228,579994.2005744025,212
25,2016,2335,760244.6763287232,308
27,2016,275,212117.24599186407,130
41,2016,1531,363239.9370923758,422
44,2016,661,348095.60775521875,190
47,2016,1232,464632.2644659397,266
50,2016,1220,323419.52245530055,378
52,2016,1109,477530.66193614993,233
54,2016,1552,449442.73230077524,346
63,2016,653,125083.32079318463,523
66,2016,1049,237390.13693074108,442
68,2016,1792,593131.9503879743,303
70,2016,773,295812.87966835697,262
73,2016,1577,383353.72670278564,412
76,2016,4778,1280975.6177451657,373
81,2016,342,87888.8188631579,390
85,2016,408,138310.12635992435,295
86,2016,323,119712.18784688084,270
88,2016,49,16825.796372629844,292
91,2016,70,32863.45698861636,214
94,2016,43,22050.71568627451,196
95,2016,97,31151.908645223008,312
97,2016,53,22049.653687315633,241
99,2016,37,48045.90663337314,78
5,2017,5874,1697307.241895367,347
8,2017,2616,764739.0697628639,343
11,2017,5333,1788470.0432674054,299
13,2017,1907,680770.8805295228,281
15,2017,1052,346383.94416138396,304
17,2017,718,242269.54724414725,297
18,2017,526,149300.1232559932,353
19,2017,1072,448636.1120929711,239
20,2017,1170,425167.6354300739,276
23,2017,1338,580472.5019024581,231
25,2017,2324,780693.2539499212,298
27,2017,279,213863.67573799734,131
41,2017,1356,364121.3708408075,373
44,2017,635,353710.3390334573,180
47,2017,1212,466903.87364492763,260
50,2017,1087,324293.6121357173,336
52,2017,1085,472875.1684482211,230
54,2017,1552,451120.9207068119,345
63,2017,572,123735.07179437393,463
66,2017,960,235327.9342091728,408
68,2017,1728,591354.5549158629,293
70,2017,830,296079.8433948995,281
73,2017,1405,377084.9939365017,373
76,2017,4350,1272566.9713355526,342
81,2017,315,88949.94021052631,355
85,2017,376,138839.41300594667,271
86,2017,428,119822.95360121784,358
88,2017,55,16652.111569112392,331
91,2017,65,33213.734890271095,196
94,2017,36,22468.166666666668,161
95,2017,92,31360.66088724142,294
97,2017,37,22416.535103244838,166
99,2017,43,48575.83052871567,89
5,2018,6166,1698411.0456832123,364
8,2018,2679,775865.3386787787,346
11,2018,5484,1758545.1970624807,312
13,2018,1909,684769.2400940569,279
15,2018,1059,345501.20015996206,307
17,2018,753,240921.07099687765,313
18,2018,542,147381.4821809399,368
19,2018,1188,446204.08766046225,267
20,2018,1396,434120.59877542016,322
23,2018,1450,582213.6966795274,250
25,2018,2231,813659.6232130319,275
27,2018,283,214837.48482673106,132
41,2018,1343,365605.30129713926,368
44,2018,793,363003.9482413497,219
47,2018,1392,472376.48473324603,295
50,2018,1095,325178.4756206298,337
52,2018,1305,469137.84119282087,279
54,2018,1651,460812.7026298825,359
63,2018,574,123453.60932987064,465
66,2018,924,234415.3231494952,395
68,2018,1839,594032.523232815,310
70,2018,880,298071.1526816449,296
73,2018,1450,371090.31564812997,391
76,2018,4679,1270418.5971782082,369
81,2018,396,92085.50408421052,431
85,2018,376,139925.96530651394,269
86,2018,359,120109.86705147315,299
88,2018,55,16468.730420445176,334
91,2018,58,33509.10609083441,174
94,2018,46,22964.382352941175,201
95,2018,94,31844.212603132848,296
97,2018,51,22571.317404129793,226
99,2018,46,49044.02963847574,94
5,2019,5816,1706906.6432557337,341
8,2019,2621,798420.109056689,329
11,2019,5509,1767862.874548998,312
13,2019,1924,697282.4138281877,276
15,2019,988,346406.09058593516,286
17,2019,682,241240.48971496723,283
18,2019,518,147124.09769007427,353
19,2019,1253,443507.4884087833,283
20,2019,1322,447037.6962453573,296
23,2019,1475,584723.2069914506,253
25,2019,2223,852387.4044893873,261
27,2019,309,214017.36768256867,145
41,2019,1339,365501.3860000207,367
44,2019,870,374900.26239633973,233
47,2019,1449,482249.8583860635,301
50,2019,1076,324709.51321038057,332
52,2019,1204,462800.1090533672,261
54,2019,1732,479590.51964560227,362
63,2019,519,124112.87235746706,419
66,2019,872,233488.34601537127,374
68,2019,1883,602659.1930621063,313
70,2019,860,302353.4229559166,285
73,2019,1412,366399.86722997314,386
76,2019,4724,1262836.3815450543,375
81,2019,443,97581.89827368422,454
85,2019,423,141161.968567592,300
86,2019,344,120176.96723859059,287
88,2019,62,16716.871118439132,371
91,2019,91,33634.38000234714,271
94,2019,47,23005.460784313727,205
95,2019,105,32163.437283271553,327
97,2019,51,23020.325663716816,222
99,2019,41,49369.517641949846,84
5,2020,6227,1691224.6307131597,369
8,2020,3690,798351.7342865511,463
11,2020,6891,1745415.6470334185,395
13,2020,2500,693604.533762167,361
15,2020,1161,345985.37881391076,336
17,2020,678,239703.5762834515,283
18,2020,635,146759.54911482823,433
19,2020,1304,442616.6204253705,295
20,2020,1634,451662.0227356305,362
23,2020,1880,584947.8774896881,322
25,2020,2707,844947.7222861558,321
27,2020,387,217428.20374600275,178
41,2020,1610,369589.26572172163,436
44,2020,1062,383400.6208064055,277
47,2020,1945,481815.70189986273,404
50,2020,1308,326772.2346426393,401
52,2020,1369,464335.85010324017,295
54,2020,2206,483230.61588177923,457
63,2020,579,123138.99849518215,471
66,2020,968,233904.50822201648,414
68,2020,2286,598947.2784347138,382
70,2020,1008,301416.77591886587,335
73,2020,1515,362973.57873658405,418
76,2020,5181,1264145.5942957683,410
81,2020,422,97475.3212631579,433
85,2020,457,142268.19911759064,322
86,2020,415,120685.15914496843,344
88,2020,76,16277.579005221214,467
91,2020,153,34193.45534561671,448
94,2020,58,24337.754901960783,239
95,2020,90,32966.182709553985,274
97,2020,61,22896.77522123894,267
99,2020,58,49901.79709043535,117
5,2021,8550,1680593.1197792764,509
8,2021,4627,800968.9620169294,578
11,2021,9198,1734187.793418114,531
13,2021,2818,693628.5683326361,407
15,2021,1595,344448.89848332247,464
17,2021,989,237999.9126676762,416
18,2021,690,146060.78509211438,473
19,2021,1553,439412.6302880346,354
20,2021,2190,455795.83840510424,481
23,2021,2077,584005.7503148551,356
25,2021,4026,853570.7964611696,472
27,2021,489,217624.09704365986,225
41,2021,2111,370170.43711829785,571
44,2021,1409,389200.38158421504,363
47,2021,2449,482715.606322882,508
50,2021,1699,326052.84912478295,522
52,2021,1637,460782.6809879289,356
54,2021,2487,487888.8787873779,510
63,2021,718,122322.85641125216,587
66,2021,1226,232276.97312230893,528
68,2021,3449,597419.9056203024,578
70,2021,1282,301058.6481844764,426
73,2021,2036,357478.59303446277,570
76,2021,6570,1255378.1471043976,524
81,2021,517,98893.80917894737,523
85,2021,774,142523.84949713628,544
86,2021,561,120406.24569471314,466
88,2021,92,16166.342126957956,570
91,2021,157,34446.89074052341,456
94,2021,46,24562.843137254902,188
95,2021,126,33370.17589381801,378
97,2021,55,23040.63598820059,239
99,2021,60,50143.47996960156,120
