age,gender,year,loc,deaths,nb_c,orphans
50-54,Male,2004,44,50,0.7436119609103125,37
50-66,Female,2004,44,102,0.112907611090606,12
55-59,Male,2004,44,39,0.4477971302276907,17
60-76,Male,2004,44,145,0.11709624991715403,17
10-14,Female,2004,47,14,0.009069547829861939,0
10-14,Male,2004,47,29,3.419536603156299e-4,0
15-19,Female,2004,47,19,0.25868351120267763,5
15-19,Male,2004,47,57,0.05741377411699632,3
20-24,Female,2004,47,29,0.7559858166819715,22
20-24,Male,2004,47,100,0.3935553354315172,39
25-29,Female,2004,47,25,1.2629186124562366,32
25-29,Male,2004,47,111,0.9017175872574404,100
30-34,Female,2004,47,40,1.606813501652445,64
30-34,Male,2004,47,103,1.406702385871879,145
35-39,Female,2004,47,54,1.5098039448086584,82
35-39,Male,2004,47,100,1.6762864553814636,168
40-44,Female,2004,47,48,1.0338458765937815,50
40-44,Male,2004,47,106,1.4755885369070478,156
45-49,Female,2004,47,69,0.5423157533847498,37
45-49,Male,2004,47,109,1.044678100498405,114
50-54,Male,2004,47,112,0.626445032991296,70
50-66,Female,2004,47,260,0.08494096283137208,22
55-59,Male,2004,47,100,0.34499820422750516,34
60-76,Male,2004,47,561,0.08438334402290934,47
10-14,Female,2004,50,14,0.014239746638215558,0
10-14,Male,2004,50,18,3.0666796688729906e-4,0
15-19,Female,2004,50,33,0.3238740059757001,11
15-19,Male,2004,50,64,0.06259505926532957,4
20-24,Female,2004,50,38,0.9497499046129333,36
20-24,Male,2004,50,176,0.39670387072783636,70
25-29,Female,2004,50,36,1.5646196438616808,56
25-29,Male,2004,50,171,0.9234838358957864,158
30-34,Female,2004,50,41,1.952423136504905,80
30-34,Male,2004,50,133,1.444296529482819,192
35-39,Female,2004,50,35,1.7548921925778038,61
35-39,Male,2004,50,134,1.7153098308420511,230
40-44,Female,2004,50,54,1.1954699796568578,65
40-44,Male,2004,50,111,1.5345358218009584,170
45-49,Female,2004,50,56,0.6704417136559055,38
45-49,Male,2004,50,121,1.1251284812636637,136
50-54,Male,2004,50,93,0.7368342745388156,69
50-66,Female,2004,50,279,0.11985452201840602,33
55-59,Male,2004,50,107,0.4489198416835111,48
60-76,Male,2004,50,565,0.11897652441085592,67
10-14,Female,2004,52,17,0.006131920831830909,0
10-14,Male,2004,52,30,0.00035669970673043435,0
15-19,Female,2004,52,57,0.20516937946726488,12
15-19,Male,2004,52,101,0.06425332024771888,6
20-24,Female,2004,52,54,0.5876157691917041,32
20-24,Male,2004,52,171,0.3495319475980409,60
25-29,Female,2004,52,30,0.9543593661904203,29
25-29,Male,2004,52,165,0.7356115633122949,121
30-34,Female,2004,52,43,1.2212337969862448,53
30-34,Male,2004,52,122,1.0673739880479365,130
35-39,Female,2004,52,49,1.1554988394325914,57
35-39,Male,2004,52,135,1.216053836911599,164
40-44,Female,2004,52,51,0.8190595348170758,42
40-44,Male,2004,52,120,1.0353206556162404,124
